station_id,city,latitude,longitude
UP020,Moradabad,28.83893,78.77684
MH005,Mumbai,19.07283,72.88261
MH006,Mumbai,19.07283,72.88261
MH007,Mumbai,19.07283,72.88261
MH008,Mumbai,19.07283,72.88261
MH009,Mumbai,19.07283,72.88261
MH010,Mumbai,19.07283,72.88261
MH011,Mumbai,19.07283,72.88261
MH012,Mumbai,19.07283,72.88261
MH013,Mumbai,19.07283,72.88261
MH014,Mumbai,19.07283,72.88261
BR004,Muzaffarpur,26.12259,85.39055
KA017,Mysuru,12.29791,76.63925
MH015,Nagpur,21.14631,79.08491
GJ004,Nandesari,22.40624,73.09517
HR022,Narnaul,28.04444,76.10833
MH016,Nashik,19.99727,73.79096
MH017,Navi Mumbai,19.03681,73.01582
MH018,Navi Mumbai,19.03681,73.01582
MH019,Navi Mumbai,19.03681,73.01582
UP022,Noida,28.58,77.33
UP023,Noida,28.58,77.33
UP024,Noida,28.58,77.33
UP025,Noida,28.58,77.33
RJ009,Pali,25.77276,73.32335
HR023,Palwal,28.14469,77.32546
HR024,Panchkula,30.69461,76.8504
HR025,Panipat,29.38747,76.96825
PB007,Patiala,30.33625,76.3922
BR005,Patna,25.59408,85.13563
BR006,Patna,25.59408,85.13563
BR007,Patna,25.59408,85.13563
BR008,Patna,25.59408,85.13563
BR009,Patna,25.59408,85.13563
BR010,Patna,25.59408,85.13563
MP011,Pithampur,22.60197,75.69649
MH020,Pune,18.51957,73.85535
AP002,Rajamahendravaram,17.00517,81.77784
KA018,Ramanagara,12.72181,77.28149
MP012,Ratlam,23.33033,75.04032
HR026,Rohtak,28.89447,76.58917
PB008,Rupnagar,30.96896,76.52695
MP013,Sagar,23.83877,78.73874
MP014,Satna,24.57726,80.82719
ML001,Shillong,25.56892,91.88313
WB014,Siliguri,26.71004,88.42851
MP015,Singrauli,24.19973,82.67535
HR027,Sirsa,29.53489,75.02898
MH021,Solapur,17.67152,75.91044
HR028,Sonipat,28.99478,77.01937
OD002,Talcher,20.94927,85.23354
MH022,Thane,19.19704,72.96355
KL007,Thiruvananthapuram,8.4855,76.94924
KL008,Thiruvananthapuram,8.4855,76.94924
AP003,Tirupati,13.63551,79.41989
RJ010,Udaipur,24.58584,73.71346
MP016,Ujjain,23.18239,75.77643
GJ005,Vapi,20.37175,72.90493
UP026,Varanasi,25.31668,83.01041
KA019,Vijayapura,16.82442,75.71537
AP004,Vijayawada,16.50745,80.6466
AP005,Visakhapatnam,17.68009,83.20161
KA020,Yadgir,16.77007,77.13755
HR029,Yamuna Nagar,30.12796,77.28371
